,Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Calorie per gram,protein fat ratio
496,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",100,85.97999999999999,4.26,3.18,1.853,0.6,10.08,Hot chocolate / Cocoa,0.8597999999999999,1.3396226415094339
497,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",100,76.43,4.33,1.99,1.164,0.6,10.3,Hot chocolate / Cocoa,0.7643000000000001,2.1758793969849246
498,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",100,69.72,4.35,1.12,0.665,0.6,10.56,Hot chocolate / Cocoa,0.6972,3.8839285714285707
499,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",100,61.599999999999994,4.4,0.32,0.188,0.6,10.28,Hot chocolate / Cocoa,0.616,13.75
500,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",100,64.31,2.61,1.35,0.272,0.8,10.43,Hot chocolate / Cocoa,0.6431,1.9333333333333331
501,"Strawberry milk, NFS",100,51.81999999999999,3.33,1.9,1.111,0.0,5.35,Strawberry milk,0.5181999999999999,1.7526315789473685
502,"Strawberry milk, whole",100,86.17,3.04,2.97,1.719,0.0,11.82,Strawberry milk,0.8617,1.0235690235690236
503,"Strawberry milk, reduced fat",100,71.64,3.15,1.8,1.042,0.0,10.71,Strawberry milk,0.7164,1.75
504,"Strawberry milk, low fat",100,69.73,3.13,0.89,0.525,0.0,12.3,Strawberry milk,0.6973,3.5168539325842696
505,"Strawberry milk, fat free",100,61.65,3.18,0.09,0.045,0.0,12.03,Strawberry milk,0.6164999999999999,35.333333333333336
506,"Strawberry milk, reduced sugar",100,50.019999999999996,3.31,0.94,0.557,0.0,7.08,Strawberry milk,0.5002,3.521276595744681
507,"Strawberry milk, non-dairy",100,64.53,1.39,1.13,0.13,0.2,12.2,Strawberry milk,0.6453,1.2300884955752214
508,"Milk, malted",100,64.67,3.2,1.91,1.114,0.0,8.67,Milk,0.6467,1.6753926701570683
509,Eggnog,100,88.11,4.55,4.19,2.591,0.0,8.05,Eggnog,0.8811,1.0859188544152742
510,"Milk shake, home recipe, chocolate",100,123.38,3.48,6.14,3.725,0.5,13.55,Milk shake,1.2338,0.5667752442996743
511,"Milk shake, home recipe, flavors other than chocolate",100,112.9,3.36,5.98,3.616,0.2,11.41,Milk shake,1.129,0.5618729096989966
512,"Milk shake, home recipe, chocolate, light",100,97.47,3.99,3.31,2.007,0.3,12.93,Milk shake,0.9747,1.2054380664652569
513,"Milk shake, home recipe, flavors other than chocolate, light",100,91.85,3.88,2.33,1.408,0.1,13.84,Milk shake,0.9185,1.6652360515021458
514,Milk shake with malt,100,124.71000000000001,3.77,6.11,3.659,0.2,13.66,Milk shake with malt,1.2471,0.6170212765957447
515,"Milk shake, fast food, chocolate",100,156.18,3.7,6.66,4.044,1.6,20.36,Milk shake,1.5618,0.5555555555555556
516,"Milk shake, fast food, flavors other than chocolate",100,150.51999999999998,3.37,6.52,3.962,0.9,19.59,Milk shake,1.5051999999999999,0.5168711656441718
